序号,产业名称,产业类型,产业ID,负责人,国内或国际,热度,热词,标题,新闻发布时间,来源,原文链接
1,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,世芯：今年目标营收同比增长30%！,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/78027/
2,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,2024年一季度全球可穿戴腕带设备市场：华为以13%份额位居第三！,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/78021/
3,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,因为补贴及土壤问题，英特尔德国晶圆厂建设推迟,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/78012/
4,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,恩智浦举办汽车生态技术峰会，发布全新S32 CoreRide开放平台,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/78002/
5,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,激进投资者向德州仪器施压，要求其停止斥巨资扩产,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/77983/
6,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,Arm最强核心Cortex-X925 CPU及Immortalis-G925 GPU发布：联发科天玑9400将首发！,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/77982/
7,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,2024年全球AI芯片营收将达710亿美元，AI PC芯片占比48.5%！,2024-05-31 08:00:00,芯智讯, https://www.icsmart.cn/77980/
8,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,同增37.2%，1-4月中国集成电路产量1354亿块,2024-05-31 08:00:00,全球半导体观察, https://www.dramx.com/News/IC/20240530-36408.html
9,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,目标吸引逾1000亿美元投资，马来西亚公布国家半导体战略,2024-05-31 08:00:00,全球半导体观察, https://www.dramx.com/News/made-sealing/20240530-36407.html
10,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,世界首款！中国团队成功研制类脑互补视觉芯片,2024-05-31 08:00:00,全球半导体观察, https://www.dramx.com/News/IC/20240530-36402.html
11,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,探讨IC设计与制造协同创新与发展，第26届CICD大会圆满举行！,2024-05-31 08:00:00,全球半导体观察, https://www.dramx.com/News/IC/20240530-36406.html
12,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,开幕在即|千余家参会企业名单发布!2024南京国际半导体博览会，6月5-7日见!,2024-05-31 08:00:00,全球半导体观察, https://www.dramx.com/News/IC/20240530-36405.html
13,集成电路,SEI,1766034156832903168,  ,DOM, ,  ,开幕在即！6月5-7日，2024南京国际半导体博览会邀您赴会,2024-05-31 08:00:00,全球半导体观察, https://www.dramx.com/News/IC/20240530-36403.html
